98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
10681730/4644   17.857    0.000   43.705    0.009 copy.py:128(deepcopy)
599953/4644    3.839    0.000   43.588    0.009 copy.py:226(_deepcopy_dict)
 20260555    3.747    0.000    3.747    0.000 {method 'get' of 'dict' objects}
663800/28442    3.520    0.000   43.462    0.002 copy.py:258(_reconstruct)
1633900/22731    3.460    0.000   42.307    0.002 copy.py:200(_deepcopy_list)
 16752381    2.468    0.000    2.468    0.000 {built-in method builtins.id}
   130394    2.329    0.000    3.080    0.000 helper.py:88(build_tile_array)
  2839646    2.276    0.000    3.222    0.000 copy.py:242(_keep_alive)
    62346    2.144    0.000    2.484    0.000 helper.py:211(find_contiguous_area)
      144    1.863    0.013    1.863    0.013 {method 'quantize' of 'ImagingCore' objects}
      150    1.265    0.008    1.265    0.008 {built-in method torch._C._cuda_getDeviceCount}
  6142259    1.150    0.000    1.150    0.000 {method 'append' of 'list' objects}
  5400037    0.875    0.000    0.875    0.000 copy.py:182(_deepcopy_atomic)
   612801    0.841    0.000    0.857    0.000 {method '__reduce_ex__' of 'object' objects}
      144    0.820    0.006    0.832    0.006 {built-in method matplotlib._image.resample}
  1174557    0.817    0.000    0.867    0.000 {method 'items' of 'dict' objects}
2756460/2754532    0.795    0.000    0.991    0.000 {built-in method builtins.isinstance}
  2077956    0.773    0.000    0.987    0.000 {built-in method builtins.getattr}
     3888    0.757    0.000    1.694    0.000 cm.py:354(to_rgba)
     4464    0.693    0.000    1.148    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1294    0.681    0.001    0.967    0.001 {method 'to' of 'torch._C.TensorBase' objects}
   277598    0.597    0.000    0.600    0.000 transforms.py:113(__init__)
   111751    0.591    0.000    0.591    0.000 {method 'reduce' of 'numpy.ufunc' objects}
530981/88757    0.587    0.000    0.695    0.000 transforms.py:167(_invalidate_internal)
  1297524    0.554    0.000    2.264    0.000 copy.py:263(<genexpr>)
530046/302632    0.551    0.000    0.552    0.000 side_modification_util.py:8(turn_side)
      143    0.480    0.003    0.480    0.003 {method 'chop_subtract_modulo' of 'ImagingCore' objects}
   228292    0.449    0.000    0.547    0.000 copy.py:209(_deepcopy_tuple)
    37497    0.429    0.000    2.312    0.000 artist.py:1173(_update_props)
